Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2017.0,Pacific,12056,THEFT,3871,0.39246019527323733
2017.0,Rampart,9630,ASSAULT,2375,0.5450070537333297
2017.0,Southeast,11844,ASSAULT,3226,0.36981507018080745
2017.0,Southwest,14275,THEFT,3298,0.5748874775438937
2017.0,Topanga,10806,THEFT,3983,0.19408146242697694
2017.0,Van Nuys,10781,THEFT,3362,0.47257344672589496
2017.0,West LA,9028,THEFT,2971,0.3245184126422709
2017.0,West Valley,9740,THEFT,2874,0.5373778966351228
2017.0,Wilshire,9869,THEFT,2908,0.5827950559264132
2018.0,77th Street,14961,ASSAULT,4056,0.36219335982527967
2018.0,Central,13185,ASSAULT,3566,0.29270864020364756
2018.0,Devonshire,9556,THEFT,3203,0.3693315888579184
2018.0,Foothill,8075,THEFT,2146,0.6842912816654632
2018.0,Harbor,9094,THEFT,2088,0.570111585059643
2018.0,Hollenbeck,8795,ASSAULT,2180,0.43962641761513227
2018.0,Hollywood,11408,THEFT,3328,0.6108889374996574
2018.0,Mission,10164,THEFT,2483,0.6938009160344256
2018.0,N Hollywood,12051,THEFT,3833,0.4205860384284565
2018.0,Newton,10883,ASSAULT,2822,0.4233437785446352
2018.0,Northeast,10287,THEFT,2733,0.7307863520917426
2018.0,Olympic,11007,THEFT,2570,0.7515023773034799
2018.0,Pacific,12153,THEFT,4150,0.2981788289630866
2018.0,Rampart,9668,ASSAULT,2416,0.520968139843045
2018.0,Southeast,11946,ASSAULT,3272,0.355949787776093
2018.0,Southwest,14362,THEFT,3676,0.6334203229537517
2018.0,Topanga,10577,THEFT,3810,0.23382015378755006
2018.0,Van Nuys,10456,THEFT,3336,0.4405697116174173
2018.0,West LA,10057,THEFT,3066,0.4476394303517753
2018.0,West Valley,9495,THEFT,2802,0.5519411578955515
2018.0,Wilshire,10747,THEFT,3204,0.5615402486881234
2019.0,77th Street,14199,ASSAULT,3995,0.31429316647258704
2019.0,Central,13558,THEFT,3821,0.3251094941299936
2019.0,Devonshire,9013,THEFT,3191,0.29443147744172027
2019.0,Foothill,7610,THEFT,1896,0.654232493319377
2019.0,Harbor,8697,ASSAULT,2128,0.43263835053739097
2019.0,Hollenbeck,8338,ASSAULT,2017,0.4710596125240706
2019.0,Hollywood,11146,THEFT,3281,0.6025250330384175
2019.0,Mission,9169,THEFT,2328,0.633551577730574
2019.0,N Hollywood,11110,THEFT,3405,0.47720090107829016
2019.0,Newton,10728,ASSAULT,2809,0.4048832764641488
2019.0,Northeast,9640,THEFT,2648,0.666103348773758
2019.0,Olympic,10260,THEFT,2709,0.6522652783902796
2019.0,Pacific,12217,THEFT,4330,0.24496681914689533
2019.0,Rampart,9535,ASSAULT,2467,0.47361115208758625
2019.0,Southeast,11687,ASSAULT,3412,0.278269598891948
2019.0,Southwest,13516,THEFT,3388,0.530459875223006
2019.0,Topanga,9685,THEFT,3652,0.16401682050737237
2019.0,Van Nuys,9594,THEFT,3117,0.42296973772603796
2019.0,West LA,9230,THEFT,3040,0.321714323317082
2019.0,West Valley,8694,THEFT,2556,0.5651158520641155
2019.0,Wilshire,10392,THEFT,3289,0.4653623399640431
2020.0,77th Street,13279,ASSAULT,4012,0.2252848232269332
2020.0,Central,11505,ASSAULT,3055,0.3073520493518775
2020.0,Devonshire,7936,THEFT,2627,0.3493190041902839
2020.0,Foothill,7041,THEFT,1573,0.6105577112698262
2020.0,Harbor,8830,ASSAULT,2027,0.5219789508575342
2020.0,Hollenbeck,7780,ASSAULT,1846,0.4988291442517008
2020.0,Hollywood,10105,THEFT,2691,0.7313762534848045
2020.0,Mission,8418,THEFT,1907,0.6333611274148332
2020.0,N Hollywood,10123,THEFT,2886,0.6125752073918596
2020.0,Newton,9949,ASSAULT,2515,0.44704016552488357
2020.0,Northeast,8411,THEFT,2325,0.6494965923188993
2020.0,Olympic,9600,ASSAULT,2270,0.5748819296188493
2020.0,Pacific,11505,THEFT,3520,0.4776718814555664
2020.0,Rampart,8988,ASSAULT,2342,0.4492140824119878
2020.0,Southeast,10766,ASSAULT,3256,0.22573011960832756
2020.0,Southwest,11132,ASSAULT,2804,0.4413607052427434
2020.0,Topanga,8080,THEFT,2503,0.46985503824298347
2020.0,Van Nuys,8736,THEFT,2522,0.6120700028091506
2020.0,West LA,9269,THEFT,3004,0.3442220220618588
2020.0,West Valley,8051,THEFT,2199,0.7048817217122741
2020.0,Wilshire,9205,THEFT,2596,0.6746559551335813
2021.0,77th Street,13028,ASSAULT,3756,0.2825565053753582
2021.0,Central,13127,ASSAULT,3258,0.40660205236921126
2021.0,Devonshire,8455,THEFT,2655,0.4452065710060948
2021.0,Foothill,7010,THEFT,1814,0.7003336978790626
2021.0,Harbor,8810,ASSAULT,2044,0.5053017294585606
2021.0,Hollenbeck,7963,ASSAULT,1911,0.4875535880469225
2021.0,Hollywood,12058,THEFT,3163,0.7283610978509558
2021.0,Mission,8175,THEFT,2104,0.6814556660104192
2021.0,N Hollywood,10890,THEFT,3224,0.5434013977355434
2021.0,Newton,9863,ASSAULT,2632,0.37231055059750107
2021.0,Northeast,9309,THEFT,2713,0.559768668809019
2021.0,Olympic,10797,THEFT,2582,0.6109819635935616
2021.0,Pacific,12861,THEFT,4028,0.42375359902181275
2021.0,Rampart,9421,ASSAULT,2425,0.4651286899884257
2021.0,Southeast,10372,ASSAULT,3038,0.2612171127495682
2021.0,Southwest,11364,ASSAULT,2757,0.49951243974923915
2021.0,Topanga,8557,THEFT,2843,0.3576144212427777
2021.0,Van Nuys,8667,THEFT,2609,0.5344241681916952
2021.0,West LA,9879,THEFT,3201,0.3368316059057781
2021.0,West Valley,8515,THEFT,2385,0.6520179065006337
2021.0,Wilshire,9719,THEFT,2854,0.5985147516865983
2022.0,77th Street,14479,ASSAULT,3739,0.43292011053301455
2022.0,Central,17622,THEFT,4324,0.6008059239772281
2022.0,Devonshire,9498,THEFT,3454,0.22175633530323557
2022.0,Foothill,7819,THEFT,2619,0.3571362072699091
2022.0,Harbor,9133,THEFT,2113,0.5495140030034426
2022.0,Hollenbeck,8488,THEFT,2157,0.577196628332753
2022.0,Hollywood,12486,THEFT,3460,0.7062414528589854
2022.0,Mission,9236,THEFT,2938,0.4716262484722282
2022.0,N Hollywood,11149,THEFT,3577,0.40788867245294813
2022.0,Newton,11892,THEFT,2950,0.5309282559104608
2022.0,Northeast,10135,THEFT,3194,0.4257854433069394
2022.0,Olympic,12007,THEFT,3103,0.6752266918421342
2022.0,Pacific,12965,THEFT,4556,0.2528115796078726
2022.0,Rampart,11160,THEFT,3062,0.6420099912964197
2022.0,Southeast,11668,ASSAULT,3113,0.39696495630414996
2022.0,Southwest,13343,THEFT,4074,0.5656953796691422
2022.0,Topanga,9426,THEFT,3332,0.27542895327464184
2022.0,Van Nuys,9661,THEFT,3128,0.41695828117642175
2022.0,West LA,10466,THEFT,3911,0.13153549687189528
2022.0,West Valley,10236,THEFT,3121,0.5027380568390587
2022.0,Wilshire,11120,THEFT,3968,0.2751054140113961
2023.0,77th Street,13843,ASSAULT,3842,0.33511759856554396
2023.0,Central,16848,ASSAULT,3841,0.5137497548658148
2023.0,Devonshire,9672,THEFT,3486,0.23078169829783476
2023.0,Foothill,7105,THEFT,1895,0.5323022314117725
2023.0,Harbor,9057,THEFT,2048,0.6241841938284451
2023.0,Hollenbeck,8344,THEFT,2007,0.6015570815577025
2023.0,Hollywood,11385,THEFT,3309,0.6286499422159904
2023.0,Mission,8931,THEFT,2534,0.6177740658101911
2023.0,N Hollywood,11487,THEFT,3629,0.42199431530851866
2023.0,Newton,11863,ASSAULT,2926,0.4800367598585774
2023.0,Northeast,9653,THEFT,3057,0.4112486168544862
2023.0,Olympic,11666,THEFT,2801,0.6799503373441238
2023.0,Pacific,13653,THEFT,5270,0.12611735017279296
2023.0,Rampart,11425,THEFT,3013,0.5431265295152081
2023.0,Southeast,11208,ASSAULT,3203,0.3038146069938213
2023.0,Southwest,13030,THEFT,3358,0.6371340498772092
2023.0,Topanga,9594,THEFT,3664,0.1590265754461312
2023.0,Van Nuys,9892,THEFT,3323,0.356259575729731
2023.0,West LA,10513,THEFT,4365,0.0
2023.0,West Valley,9881,THEFT,2712,0.6867748973374032
2023.0,Wilshire,11636,THEFT,4277,0.23507948303434364
