Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2017.0,N Hollywood,12400,THEFT,3776,0.2166238623707563
2017.0,Newton,11720,ASSAULT,2912,0.5549428447556068
2017.0,Northeast,10508,THEFT,2748,0.12107030046954617
2017.0,Olympic,11128,THEFT,2599,0.8532523900803208
2017.0,Pacific,12056,THEFT,3871,0.1769240158277278
2017.0,Rampart,9630,ASSAULT,2375,0.8327145587501812
2017.0,Southeast,11844,ASSAULT,3226,0.5882328830261939
2017.0,Southwest,14275,THEFT,3298,0.5339403180780009
2017.0,Topanga,10806,THEFT,3983,0.10613934094643207
2017.0,Van Nuys,10781,THEFT,3362,0.2522001580792676
2017.0,West LA,9028,THEFT,2971,0.007170243146149361
2017.0,West Valley,9740,THEFT,2874,0.0850697959550307
2017.0,Wilshire,9869,THEFT,2908,0.36970981193269764
2018.0,77th Street,14961,ASSAULT,4056,0.6169063735221395
2018.0,Central,13185,ASSAULT,3566,0.07601981236637592
2018.0,Devonshire,9556,THEFT,3203,0.35568518713861863
2018.0,Foothill,8075,THEFT,2146,0.02510879613006373
2018.0,Harbor,9094,THEFT,2088,0.08200881494629135
2018.0,Hollenbeck,8795,ASSAULT,2180,0.2276754255704902
2018.0,Hollywood,11408,THEFT,3328,0.3770049720857568
2018.0,Mission,10164,THEFT,2483,0.144620704165724
2018.0,N Hollywood,12051,THEFT,3833,0.2086227161609987
2018.0,Newton,10883,ASSAULT,2822,0.5106164052050987
2018.0,Northeast,10287,THEFT,2733,0.11713672278457049
2018.0,Olympic,11007,THEFT,2570,0.8432888267242472
2018.0,Pacific,12153,THEFT,4150,0.17875930871481988
2018.0,Rampart,9668,ASSAULT,2416,0.8362280152620495
2018.0,Southeast,11946,ASSAULT,3272,0.593841602690609
2018.0,Southwest,14362,THEFT,3676,0.5376567020945942
2018.0,Topanga,10577,THEFT,3810,0.10255759486367154
2018.0,Van Nuys,10456,THEFT,3336,0.242608027918076
2018.0,West LA,10057,THEFT,3066,0.015527756219909856
2018.0,West Valley,9495,THEFT,2802,0.0813204745553289
2018.0,Wilshire,10747,THEFT,3204,0.40832801540179203
2019.0,77th Street,14199,ASSAULT,3995,0.5821240609983335
2019.0,Central,13558,THEFT,3821,0.08004520675612445
2019.0,Devonshire,9013,THEFT,3191,0.3316991347250523
2019.0,Foothill,7610,THEFT,1896,0.019914684114965765
2019.0,Harbor,8697,ASSAULT,2128,0.07544742983873828
2019.0,Hollenbeck,8338,ASSAULT,2017,0.21251462631765464
2019.0,Hollywood,11146,THEFT,3281,0.3668529754376831
2019.0,Mission,9169,THEFT,2328,0.12408020279868016
2019.0,N Hollywood,11110,THEFT,3405,0.1873380140614389
2019.0,Newton,10728,ASSAULT,2809,0.5023988960651901
2019.0,Northeast,9640,THEFT,2648,0.1056412624652587
2019.0,Olympic,10260,THEFT,2709,0.7815645733081356
2019.0,Pacific,12217,THEFT,4330,0.17998070316705822
2019.0,Rampart,9535,ASSAULT,2467,0.8237777095824665
2019.0,Southeast,11687,ASSAULT,3412,0.5794683244978227
2019.0,Southwest,13516,THEFT,3388,0.5020612837706918
2019.0,Topanga,9685,THEFT,3652,0.0883443074866889
2019.0,Van Nuys,9594,THEFT,3117,0.2172451422855668
2019.0,West LA,9230,THEFT,3040,0.008779454228080399
2019.0,West Valley,8694,THEFT,2556,0.06902236371585746
2019.0,Wilshire,10392,THEFT,3289,0.3925915199503925
2020.0,77th Street,13279,ASSAULT,4012,0.540093343436571
2020.0,Central,11505,ASSAULT,3055,0.058076444924691044
2020.0,Devonshire,7936,THEFT,2627,0.0199701212674054
2020.0,Foothill,7041,THEFT,1573,0.013550846728508344
2020.0,Harbor,8830,ASSAULT,2027,0.07769600993513193
2020.0,Hollenbeck,7780,ASSAULT,1846,0.19399082807179382
2020.0,Hollywood,10105,THEFT,2691,0.3267050751183662
2020.0,Mission,8418,THEFT,1907,0.10862953147961417
2020.0,N Hollywood,10123,THEFT,2886,0.16510136817909843
2020.0,Newton,9949,ASSAULT,2515,0.4612565046257981
2020.0,Northeast,8411,THEFT,2325,0.08392902688166634
2020.0,Olympic,9600,ASSAULT,2270,0.7270410846554323
2020.0,Pacific,11505,THEFT,3520,0.1659740803068975
2020.0,Rampart,8988,ASSAULT,2342,0.7727708240526893
2020.0,Southeast,10766,ASSAULT,3256,0.5286177993352955
2020.0,Southwest,11132,ASSAULT,2804,0.401988812609511
2020.0,Topanga,8080,THEFT,2503,0.06327263525720825
2020.0,Van Nuys,8736,THEFT,2522,0.19224068928620686
2020.0,West LA,9269,THEFT,3004,0.009116998889586178
2020.0,West Valley,8051,THEFT,2199,0.059300621733814715
2020.0,Wilshire,9205,THEFT,2596,0.3405925477634909
2021.0,77th Street,13028,ASSAULT,3756,0.5287212907327978
2021.0,Central,13127,ASSAULT,3258,0.07553245163299566
2021.0,Devonshire,8455,THEFT,2655,0.02563033333633547
2021.0,Foothill,7010,THEFT,1814,0.013311508975630213
2021.0,Harbor,8810,ASSAULT,2044,0.07735409957337526
2021.0,Hollenbeck,7963,ASSAULT,1911,0.20006331075075617
2021.0,Hollywood,12058,THEFT,3163,0.4023039179401174
2021.0,Mission,8175,THEFT,2104,0.10368628841504836
2021.0,N Hollywood,10890,THEFT,3224,0.18242349268234934
2021.0,Newton,9863,ASSAULT,2632,0.4566219760993875
2021.0,Northeast,9309,THEFT,2713,0.09967493861596607
2021.0,Olympic,10797,THEFT,2582,0.8258054061370471
2021.0,Pacific,12861,THEFT,4028,0.19310316539614206
2021.0,Rampart,9421,ASSAULT,2425,0.8131434307415327
2021.0,Southeast,10372,ASSAULT,3038,0.5069316896436227
2021.0,Southwest,11364,ASSAULT,2757,0.41178506106894514
2021.0,Topanga,8557,THEFT,2843,0.07069897070495587
2021.0,Van Nuys,8667,THEFT,2609,0.1901216547502672
2021.0,West LA,9879,THEFT,3201,0.013977752997277026
2021.0,West Valley,8515,THEFT,2385,0.06637191940005215
2021.0,Wilshire,9719,THEFT,2854,0.36312625371684076
2022.0,77th Street,14479,ASSAULT,3739,0.5950226724017649
